season,week,weekly_rank,season_rank,celebrity_name,total_score,ballroom_partner,estimated_fan_percent,fan_percent_min,fan_percent_max,estimated_fan_rank_milp,inferred_fan_rank,certainty,computed_total_rank,rank_based_score,is_predicted_eliminated_rank,prediction_outcome_rank,is_week_prediction_correct_rank,judge_percent,percent_based_score,is_predicted_eliminated_percent,prediction_outcome_percent,is_week_prediction_correct_percent,is_actual_eliminated,certainty_final,EC_norm,PD_norm
1,2,1.0,2,John O'Hurley,46.0,Charlotte Jorgensen,13.61,6.8,40.82,3.0,3,0.6599,1,4.0,False,Correctly Predicted Safe,True,20.0,16.805,False,Correctly Predicted Safe,True,False,0.44549230987774036,0.2,0.7998236331569666
1,2,2.0,4,Rachel Hunter,44.0,Jonathan Roberts,8.16,6.8,40.82,5.0,5,0.6599,3,7.0,False,Correctly Predicted Safe,True,19.130434782608692,13.645217391304348,False,Correctly Predicted Safe,True,False,0.6504637798051891,0.4,0.9600235155790712
1,2,3.0,3,Joey McIntyre,41.0,Ashly DelGrosso,20.41,8.16,40.82,2.0,2,0.6735,2,5.0,False,Correctly Predicted Safe,True,17.82608695652174,19.11804347826087,False,Correctly Predicted Safe,True,False,0.29971126752257643,0.0,0.6249234537660746
1,2,4.0,6,Trista Sutter,37.0,Louis van Amstel,6.8,6.8,10.2,6.0,6,0.966,6,10.0,True,Correctly Predicted Eliminated,True,16.08695652173913,11.443478260869565,True,Correctly Predicted Eliminated,True,True,0.6633109060769367,0.4,1.0
1,2,6.0,1,Kelly Monaco,30.0,Alec Mazo,40.82,13.61,40.82,1.0,1,0.7279,4,7.0,False,Correctly Predicted Safe,True,13.043478260869565,26.93173913043478,False,Correctly Predicted Safe,True,False,0.7763935876242631,1.0,0.0
1,2,5.0,5,Evander Holyfield,32.0,Edyta Sliwinska,10.2,10.2,40.82,4.0,4,0.6939,5,9.0,False,Correctly Predicted Safe,True,13.91304347826087,12.056521739130435,False,Correctly Predicted Safe,True,False,0.3736064123757368,0.0,1.0
1,3,1.0,4,Rachel Hunter,26.0,Jonathan Roberts,10.95,8.76,43.8,4.0,4,0.6496,2,5.0,False,Correctly Predicted Safe,True,24.52830188679245,17.739150943396226,False,Correctly Predicted Safe,True,False,0.8469895763469266,0.75,0.9375
1,3,2.0,2,John O'Hurley,24.0,Charlotte Jorgensen,21.9,8.76,43.8,2.0,2,0.6496,1,4.0,False,Correctly Predicted Safe,True,22.641509433962263,22.27075471698113,False,Correctly Predicted Safe,True,False,0.29972318014837196,0.0,0.625
1,3,3.0,3,Joey McIntyre,22.0,Ashly DelGrosso,14.6,8.76,43.8,3.0,3,0.6496,4,6.0,False,Correctly Predicted Safe,True,20.75471698113208,17.67735849056604,False,Correctly Predicted Safe,True,False,0.3368191428547673,0.0,0.8333333333333334
1,3,4.0,1,Kelly Monaco,21.0,Alec Mazo,43.8,10.95,43.8,1.0,1,0.6715,3,5.0,False,Correctly Predicted Safe,True,19.81132075471698,31.80566037735849,False,Correctly Predicted Safe,True,False,0.603072384007812,0.75,0.0
1,3,5.0,5,Evander Holyfield,13.0,Edyta Sliwinska,8.76,8.76,21.9,5.0,5,0.8686,5,10.0,True,Correctly Predicted Eliminated,True,12.264150943396226,10.512075471698113,True,Correctly Predicted Eliminated,True,True,0.3736064123757368,0.0,1.0
1,4,1.0,1,Kelly Monaco,26.0,Alec Mazo,16.0,16.0,16.0,3.0,3,1.0,1,4.0,False,Correctly Predicted Safe,True,28.26086956521739,22.130434782608692,False,Correctly Predicted Safe,True,False,0.28182261589670976,0.0,0.5
1,4,2.0,4,Rachel Hunter,25.0,Jonathan Roberts,12.0,12.0,12.0,4.0,4,1.0,4,6.0,True,Correctly Predicted Eliminated,True,27.173913043478255,19.58695652173913,True,Correctly Predicted Eliminated,True,True,0.5376245020156416,0.6666666666666666,0.0
1,4,3.0,2,John O'Hurley,21.0,Charlotte Jorgensen,24.0,24.0,24.0,2.0,2,1.0,2,5.0,False,Correctly Predicted Safe,True,22.82608695652174,23.413043478260867,False,Correctly Predicted Safe,True,False,0.4488591708738754,0.3333333333333333,0.5
