celebrity_homestate,fan_percent_mean,fan_percent_std,contestant_count,fan_percent_min,fan_percent_max,judge_percent_mean
Maine,20.6471,4.7728,2,17.2722,24.022,23.859
Alabama,14.5875,10.542,7,3.5333,35.095,12.5531
Hawaii,14.4732,8.1537,4,6.374,24.8444,14.0958
Nebraska,14.3133,,1,14.3133,14.3133,12.6922
Louisiana,13.9102,8.1255,8,3.4888,23.7157,12.0727
Alaska,13.5764,0.0,2,13.5764,13.5764,12.7107
Pennsylvania,13.2226,9.4036,13,4.905,27.315,13.2953
Oregon,12.8296,9.1038,3,2.58,19.9762,13.5806
Mississippi,12.8192,11.5653,5,1.525,29.6738,12.7257
Iowa,12.5007,8.0357,6,0.88,21.4244,11.5385
Connecticut,12.4047,11.4337,6,2.055,28.918,11.5249
Massachusetts,12.1497,8.088,6,1.0,25.2975,13.7563
South Carolina,11.8582,8.4069,4,3.5133,22.785,12.9277
Colorado,11.7056,12.6274,2,2.7767,20.6344,13.1591
Nevada,11.6938,12.7332,2,2.69,20.6975,11.5205
Utah,11.6715,8.7751,4,3.798,21.2,12.773
Virginia,11.5833,8.9087,6,3.1167,23.5844,10.8698
Washington,11.4965,8.0707,5,2.4733,18.8406,11.9105
Arizona,11.2401,7.213,3,3.1457,16.9867,13.0752
New Hamshire,11.0629,,1,11.0629,11.0629,12.4746
Kansas,10.7559,6.0439,5,3.83,16.738,11.5946
Florida,10.5665,7.2222,20,1.75,23.9275,11.6861
Georgia,10.3985,6.2746,15,2.88,21.563,12.0423
Arkansas,10.1581,10.9858,2,2.39,17.9262,9.6427
Texas,9.6633,6.5859,25,1.655,25.607,10.9521
Illinois,9.4939,7.8709,15,0.89,22.8844,10.2643
Washington D.C.,8.9115,7.8459,4,2.07,19.074,10.0392
Michigan,8.9097,5.8933,9,2.534,20.9725,10.8827
Wisconsin,8.7083,2.2816,2,7.095,10.3217,10.7516
California,8.3495,7.367,72,0.6,30.7129,10.1834
North Carolina,8.1619,8.016,4,3.4933,20.1411,10.4045
Minnesota,8.1562,1.5592,2,7.0538,9.2588,11.0258
New York,8.1309,6.4987,47,0.79,23.536,10.1833
Ohio,7.7341,6.7884,13,0.79,21.1064,9.9026
Delaware,7.6121,1.9769,2,6.2143,9.01,10.2022
Maryland,7.56,4.6496,6,1.0,12.2433,11.8582
Kentucky,7.5589,6.9554,8,1.96,22.94,9.4517
New Jersey,7.1457,7.5699,9,0.87,19.8011,9.3589
Missouri,6.948,5.9322,4,1.8,13.7029,10.5901
Indiana,4.9155,1.8134,4,2.5,6.8,11.1399
West Virginia,4.566,,1,4.566,4.566,9.4547
Tennessee,4.5433,5.308,2,0.79,8.2967,10.9953
New Mexico,4.3117,3.7924,2,1.63,6.9933,9.3963
South Dakota,2.22,,1,2.22,2.22,5.5166
Rhode Island,2.15,,1,2.15,2.15,9.0279
